Name,Value.gain,Value.bw,Value.constraint_gain_constraint,Value.constraint_pm_constraint,Value.LM1,Value.LM2,Value.LM3,Value.WM1,Value.WM2,Value.WM3,Value.Rb,Value.Vb
0,-0.596450727272727,-0.12837108,-32.80479,-14.2699695476282,4.10474652126431E-07,1.23513980412098E-06,9.8921269284444E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
1,-0.473214363636364,-0.2834932,-26.02679,-28.6189858245784,2.7191150176099E-07,1.85907401178059E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.62266229467584
2,-0.660094,-0.07795432,-36.30517,-21.1812270548722,5.14810414892528E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.671533717862347
3,-0.660515636363636,-0.07764644,-36.32836,-21.2205647175416,5.14810414892528E-07,1.85907401178059E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.671533717862347
4,-0.599288363636364,-0.12577764,-32.96086,-13.3363074908086,4.10474652126431E-07,1.23513980412098E-06,1.05267376335384E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
5,-0.562252,-0.1624928,-30.92386,-17.3729741777805,3.47784003158223E-07,7.5696251811738E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.644643597335363
6,-0.682268909090909,-0.06247156,-37.52479,-20.5981852026448,5.9448531797899E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,4.22073926610503E-06,2715.31505579516,0.708799225186819
7,-0.595675272727273,-0.12911122,-32.76214,-14.5074843622876,4.10788028988886E-07,1.15825445267076E-06,9.8921269284444E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
8,-0.599472727272727,-0.12561346,-32.971,-13.3102693251628,4.10474652126431E-07,1.24315597713996E-06,1.05267376335384E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
9,-0.542218545454545,-0.18531068,-29.82202,-22.0853822385953,3.47784003158223E-07,7.14015553060703E-07,6.24057560333273E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.62266229467584
